id,user,fecha,tweet,pais,miedo,ira,expectante,confianza,sorpresa,tristeza,repulsion,alegria,positivo,negativo,emociones,polaridad,palabra,emocion,puntuacion
15175,Bárbara Muñoz S.,2024-04-11 15:00:32,"Fui a la dermatóloga a verme un lunar raro que tenía en la espalda. Cuando me ve entrar en la consulta, me mira rápido y me dice: “Vienes por todas esas manchas en la cara, ¿verdad?” Gracias por sumarme una inseguridad que no tenía ",Argentina,1,0,0,0,0,0,0,0,1,1,['miedo'],neutro,inseguridad,miedo,0.484
15176,Cancamuso,2024-04-11 12:30:21,"Lo de 
@lucialopezchile
 no solo es una performance ridícula, si no tremendamente clasista.

Sube fotos paseando por lugares en los que jamás viviría o trabajaría solo para argumentar que la inseguridad no es más que una generalización que se debe enfrentar paseando por las calles.",Chile,1,0,0,0,0,0,0,0,1,1,['miedo'],neutro,inseguridad,miedo,0.484
15177,Panda_Del_Mal,2024-04-11 04:37:32,"Chequen el reportaje de ahorita con Ciro de las extrorsiones en el Centro por parte de la Unión Tepito.

Y la desgraciada, miserable y sinvergüenza de MI3RDA de #ClaudiaCorrupta ladrando que ella acabó con la corrupción e inseguridad en la CDMX.

PINCHE DESNALGADA CHATPM",Chile,2,2,0,1,0,1,3,0,0,4,['repulsion'],negativo,miserable,tristeza,0.844
15179,José Francisco Lagos,2024-04-11 03:07:15,Nuevamente un carabinero fallecido en un enfrentamiento. La situación de la delincuencia es cada vez más insoportable para la ciudadanía. Llega un momento en que la ciudadanía se aburre definitivamente de la inseguridad. Basta de indolencia.,Chile,2,0,1,0,0,2,1,0,0,4,"['miedo', 'tristeza']",negativo,fallecido,tristeza,0.891
15180,Abril,2024-04-10 23:04:38,"Harta el periodismo dándole entidad a militantes como Lamothe y Echarri contra Francella. En que país vivieron estos últimos 4 años de hambre, inseguridad y corrupción? Militando como hipócritas ensobrados mientras el país se destruia. No pueden ser tan asquerosamente cínicos.",Chile,1,0,0,1,0,0,1,0,0,2,"['miedo', 'confianza', 'repulsion']",negativo,corrupción,repulsion,0.656
15454,Christina Jácome,2024-04-10 16:55:40,"En plena crisis diplomática, económica, y de inseguridad: Daniel Noboa al igual como lo hacía Lasso, SE VA DEL PAÍS. 

¡Vaya Presidente que “se pone los pantalones” tenemos!",Argentina,1,0,0,0,0,0,0,0,0,2,['miedo'],negativo,crisis,miedo,0.766
15457,Jor,2024-04-10 07:47:04,"Hay tanto culto al cuerpo hoy en día, que cuando se me plantea la oportunidad de conocer a alguien, me genera mucha inseguridad y complejo de inferioridad ya que no tengo un cuerpo trabajado (ni lo quiero).",Spain,4,0,1,0,0,3,2,0,1,6,['miedo'],negativo,cuerpo,repulsion,0.795
15458,Nicolás de León,2024-04-09 21:55:59,A mi me disculpan pero como esta la situación de la inseguridad y los grafiteros se meten a cualquier balcón a pintar me parece una reverenda estupidez… se van a topar con uno medio paranoico y no la cuentan.,Spain,2,0,1,0,0,1,1,0,0,2,['miedo'],negativo,situación,tristeza,0.621
15464,Javier García Isac,2024-04-09 15:30:37,"Cuatro millones de parados, inseguridad en las calles, mafias de seres humanos, efecto llamada, manadas de violadores,  caja de las pensiones vacia, deuda impagable, y todos menos VOX a favor de regularizar a más de medio millón de ilegales. No es magia, son nuestros impuestos.",Spain,1,0,0,0,0,1,0,0,0,2,"['miedo', 'tristeza']",negativo,inseguridad,miedo,0.484
15465,☆ 𝐏𝐫𝐨𝐠𝐫𝐞𝐬𝐭𝐨𝐧a ☆,2024-04-09 15:23:39,"El Congreso apoya la iniciativa de Podemos y Sumar para regularizar a 500.000 inmigrantes en España, con la colaboración del PP.

Cuando el PSOE azul te hable de inseguridad en las calles por la inmigración, recuerda esto.",Spain,1,0,0,0,0,1,0,0,0,1,"['miedo', 'tristeza']",negativo,inseguridad,miedo,0.484
15466,Gustavo Zubia,2024-04-09 00:25:47,"El Frente plantea como posible solución a los problemas de inseguridad, el cese de la prisión para reclusos con condena ?
Ese es su plan ?
Tenemos diabetes y desayunamos chocolate ?
En el concurso de disparates  sigue sacando el PRIMER PREMIO ?
Ya lo hizo Diaz en 2005 y que paso?",Spain,2,1,2,1,0,1,0,1,2,3,"['miedo', 'expectante']",negativo,prisión,miedo,0.75
15467,Eduardo Verástegui,2024-04-08 23:14:29,"¿Se han preguntado por qué las candidatas que, según ellas, tienen mucha experiencia en política, no han podido solucionar nada? Seguimos con problemas graves, como el de la salud, la des-educación de la NEM (Nueva Escuela Mexicana) y la inseguridad.
Se los dije. ¿Entonces...?",Spain,1,1,0,0,0,1,0,0,0,2,"['miedo', 'ira', 'tristeza']",negativo,nada,tristeza,0.594
